Customer Code Unique|Volume Segment|Preferential Segment|City|Region|SR Tracking Code|Channel|Location type
7136|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7143|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7145|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7156|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7160|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7170|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7172|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7177|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7180|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7181|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7182|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7185|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7187|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7198|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7199|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7205|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7206|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7209|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7211|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7212|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7216|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7217|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7218|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7222|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7223|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7229|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7231|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7232|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7235|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7243|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7246|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7248|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7249|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7282|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7283|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7285|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7289|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7291|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7298|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7300|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7303|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7304|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7306|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7313|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7317|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7326|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7328|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7335|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7336|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7337|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7340|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7342|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7346|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7348|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7350|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7357|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7358|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7360|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7361|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7365|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7368|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7369|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7374|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7376|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7378|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7398|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
7040|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7052|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7076|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7087|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7088|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7151|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7278|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7280|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7281|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7287|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7355|D|1|City 227|CENTER|888|Channel 1|Location Subtype 2
7132|D|1|City 227|CENTER|888|Channel 1|Location Subtype 5
7141|D|1|City 227|CENTER|888|Channel 1|Location Subtype 5
7007|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7011|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7012|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7014|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7017|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7018|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7019|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7021|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7022|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7027|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7028|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7029|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7031|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7032|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7033|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7036|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7038|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7043|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7044|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7045|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7053|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7058|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7059|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7067|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7069|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7074|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7079|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7081|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7083|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7085|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7103|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7107|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7108|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7115|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7120|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7123|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7125|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7127|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7128|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7130|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7137|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7138|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7140|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7142|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7150|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7154|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7155|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7166|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7167|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7168|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7169|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7171|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7175|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7176|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7178|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7179|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7184|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7188|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7191|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7192|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7194|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7197|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7200|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7202|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7204|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7207|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7208|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7210|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7213|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7221|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7224|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7225|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7230|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7234|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7238|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7239|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7241|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7244|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7277|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7279|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7284|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7286|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7292|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7293|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7299|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7302|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7305|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7308|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7309|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7314|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7315|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7316|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7318|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7321|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7323|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7331|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7334|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7339|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7341|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7347|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7349|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7352|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7353|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7354|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7356|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7359|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7366|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7372|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7373|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7382|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7383|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7384|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7387|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7388|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7389|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7393|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7399|D|1|City 227|CENTER|888|Channel 2|Location Subtype 11
7049|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7095|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7109|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7133|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7148|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7152|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7161|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7174|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7190|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7307|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7322|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7338|D|1|City 227|CENTER|888|Channel 2|Location Subtype 6
7319|D|1|City 227|CENTER|888|Channel 2|Location Subtype 7
7025|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7080|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7159|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7186|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7201|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7214|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7362|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7363|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7364|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7379|D|1|City 227|CENTER|888|Channel 2|Location Subtype 8
7015|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7016|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7024|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7118|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7122|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7153|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7163|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7164|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7183|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7203|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7226|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7228|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7325|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7343|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7344|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7345|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
7386|D|1|City 227|CENTER|888|Channel 2|Location Subtype 9
18520|B|1|City 131|CENTER|888|Channel 2|Location Subtype 6
131|B|1|City 131|SOUTH|888|Channel 2|Location Subtype 6
1779|B|1|City 408|CENTER|888|Channel 2|Location Subtype 6
14587|B|2|City 1081|SOUTH|888|Channel 2|Location Subtype 6
15731|B|2|City 165|SOUTH|888|Channel 2|Location Subtype 6
11060|B|2|City 235|SOUTH|888|Channel 2|Location Subtype 6
917|A|1|City 583|SOUTH|888|Channel 2|Location Subtype 7
18727|B|1|City 118|CENTER|888|Channel 2|Location Subtype 7
14452|B|1|City 118|SOUTH|888|Channel 2|Location Subtype 7
946|B|2|City 768|SOUTH|888|Channel 2|Location Subtype 7
827|B|1|City 574|SOUTH|888|Channel 2|Location Subtype 7
10604|B|1|City 63|SOUTH|888|Channel 2|Location Subtype 7
10642|B|1|City 95|SOUTH|888|Channel 2|Location Subtype 7
15347|B|1|City 235|SOUTH|888|Channel 2|Location Subtype 7
1979|B|2|City 917|SOUTH|888|Channel 2|Location Subtype 7
15414|B|2|City 471|SOUTH|888|Channel 2|Location Subtype 7
13683|B|2|City 452|SOUTH|888|Channel 2|Location Subtype 7
464|B|2|City 735|SOUTH|888|Channel 2|Location Subtype 7
16310|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 7
832|B|2|City 347|SOUTH|888|Channel 2|Location Subtype 7
15405|B|2|City 337|SOUTH|888|Channel 2|Location Subtype 7
2056|A|2|City 1045|SOUTH|888|Channel 2|Location Subtype 8
1863|B|2|City 408|CENTER|888|Channel 2|Location Subtype 8
2157|B|2|City 682|SOUTH|888|Channel 2|Location Subtype 8
14586|B|2|City 797|SOUTH|888|Channel 2|Location Subtype 8
13514|B|2|City 131|SOUTH|888|Channel 2|Location Subtype 8
14450|B|2|City 735|SOUTH|888|Channel 2|Location Subtype 8
13710|B|2|City 1018|CENTER|888|Channel 2|Location Subtype 8
1815|B|2|City 408|CENTER|888|Channel 2|Location Subtype 8
13638|B|2|City 290|SOUTH|888|Channel 2|Location Subtype 8
13393|B|1|City 735|SOUTH|888|Channel 2|Location Subtype 8
2154|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 8
2065|B|1|City 154|SOUTH|888|Channel 2|Location Subtype 8
2079|B|1|City 282|SOUTH|888|Channel 2|Location Subtype 8
15889|B|1|City 408|CENTER|888|Channel 2|Location Subtype 8
15677|B|1|City 811|SOUTH|888|Channel 2|Location Subtype 8
279|B|1|City 290|SOUTH|888|Channel 2|Location Subtype 8
4009|B|1|City 513|CENTER|888|Channel 2|Location Subtype 8
1832|B|1|City 408|CENTER|888|Channel 2|Location Subtype 8
2071|B|1|City 344|SOUTH|888|Channel 2|Location Subtype 8
12465|B|1|City 1112|SOUTH|888|Channel 2|Location Subtype 8
11045|B|1|City 235|SOUTH|888|Channel 2|Location Subtype 8
11331|B|2|City 738|SOUTH|888|Channel 2|Location Subtype 8
13515|B|2|City 651|SOUTH|888|Channel 2|Location Subtype 8
15882|B|2|City 408|CENTER|888|Channel 2|Location Subtype 8
16053|B|2|City 63|SOUTH|888|Channel 2|Location Subtype 8
15727|B|2|City 1034|SOUTH|888|Channel 2|Location Subtype 8
15956|B|2|City 735|SOUTH|888|Channel 2|Location Subtype 8
11105|B|2|City 540|SOUTH|888|Channel 2|Location Subtype 8
13713|B|2|City 128|CENTER|888|Channel 2|Location Subtype 8
230|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 8
13681|B|2|City 523|SOUTH|888|Channel 2|Location Subtype 8
18743|B|1|City 1091|CENTER|888|Channel 2|Location Subtype 9
15769|B|1|City 1091|SOUTH|888|Channel 2|Location Subtype 9
17078|B|1|City 165|SOUTH|888|Channel 2|Location Subtype 9
15366|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 9
18792|B|2|City 954|CENTER|888|Channel 2|Location Subtype 9
17005|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 9
17351|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 9
18800|B|2|City 954|CENTER|888|Channel 2|Location Subtype 9
17353|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 9
17859|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 9
4479|B|1|City 523|SOUTH|888|Channel 2|Location Subtype 9
4549|B|1|City 930|SOUTH|888|Channel 2|Location Subtype 9
15729|B|1|City 290|SOUTH|888|Channel 2|Location Subtype 9
15782|B|1|City 1091|SOUTH|888|Channel 2|Location Subtype 9
437|B|2|City 735|SOUTH|888|Channel 2|Location Subtype 9
417|B|2|City 735|SOUTH|888|Channel 2|Location Subtype 9
17531|B|2|City 735|SOUTH|888|Channel 2|Location Subtype 9
240|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 9
16677|B|2|City 954|SOUTH|888|Channel 2|Location Subtype 9
15900|D|2|City 841|SOUTH|888|Channel 2|Location Subtype 9
4596|C|2|City 761|SOUTH|888|Channel 3|Location Subtype 4
13586|D|1|City 32|CENTER|888|Channel 3|Location Subtype 4
13455|D|1|City 523|SOUTH|888|Channel 3|Location Subtype 4
13454|D|1|City 235|SOUTH|888|Channel 3|Location Subtype 4
13386|D|2|City 735|SOUTH|888|Channel 3|Location Subtype 4
14396|D|2|City 107|SOUTH|888|Channel 3|Location Subtype 4
17065|D|2|City 954|SOUTH|888|Channel 3|Location Subtype 4
13456|D|2|City 597|SOUTH|888|Channel 3|Location Subtype 4
14788|D|2|City 523|SOUTH|888|Channel 3|Location Subtype 4
14789|D|2|City 597|SOUTH|888|Channel 3|Location Subtype 4
15391|D|2|City 708|SOUTH|888|Channel 3|Location Subtype 4
14790|D|2|City 235|SOUTH|888|Channel 3|Location Subtype 4
278|D|1|City 165|SOUTH|888|Channel 3|Location Subtype 10
10685|D|1|City 63|SOUTH|888|Channel 3|Location Subtype 10
277|D|1|City 165|SOUTH|888|Channel 3|Location Subtype 10
1849|D|1|City 408|CENTER|888|Channel 3|Location Subtype 10
3983|D|1|City 550|CENTER|888|Channel 3|Location Subtype 10
324|D|1|City 954|SOUTH|888|Channel 3|Location Subtype 10
1888|D|1|City 408|CENTER|888|Channel 3|Location Subtype 10
322|D|1|City 954|SOUTH|888|Channel 3|Location Subtype 10
16593|D|1|City 165|SOUTH|888|Channel 3|Location Subtype 10
16363|D|1|City 523|SOUTH|888|Channel 3|Location Subtype 10
4040|D|1|City 550|CENTER|888|Channel 3|Location Subtype 10
8521|C|1|City 361|NORTH|888|Channel 3|Location Subtype 4
13536|C|1|City 1041|NORTH|888|Channel 3|Location Subtype 4
14487|C|1|City 343|NORTH|888|Channel 3|Location Subtype 4
8164|C|1|City 183|NORTH|888|Channel 3|Location Subtype 4
14921|C|1|City 25|SOUTH|888|Channel 3|Location Subtype 4
15891|C|1|City 125|NORTH|888|Channel 3|Location Subtype 4
14751|C|2|City 191|SOUTH|888|Channel 3|Location Subtype 4
14277|C|2|City 504|NORTH|888|Channel 3|Location Subtype 4
14695|C|2|City 722|NORTH|888|Channel 3|Location Subtype 4
13228|C|2|City 37|NORTH|888|Channel 3|Location Subtype 4
8694|C|2|City 398|NORTH|888|Channel 3|Location Subtype 4
13268|D|1|City 835|NORTH|888|Channel 3|Location Subtype 4
13269|D|1|City 656|NORTH|888|Channel 3|Location Subtype 4
13271|D|1|City 398|NORTH|888|Channel 3|Location Subtype 4
16340|D|1|City 1041|NORTH|888|Channel 3|Location Subtype 4
14828|D|2|City 191|SOUTH|888|Channel 3|Location Subtype 4
14902|D|2|City 443|NORTH|888|Channel 3|Location Subtype 4
15486|D|2|City 425|NORTH|888|Channel 3|Location Subtype 4
15506|D|2|City 973|NORTH|888|Channel 3|Location Subtype 4
14808|D|2|City 390|NORTH|888|Channel 3|Location Subtype 4
14809|D|2|City 835|NORTH|888|Channel 3|Location Subtype 4
14812|D|2|City 835|NORTH|888|Channel 3|Location Subtype 4
14813|D|2|City 414|NORTH|888|Channel 3|Location Subtype 4
14814|D|2|City 123|NORTH|888|Channel 3|Location Subtype 4
13322|D|2|City 909|NORTH|888|Channel 3|Location Subtype 4
15124|D|2|City 1029|NORTH|888|Channel 3|Location Subtype 4
17248|D|1|City 1041|NORTH|888|Channel 3|Location Subtype 10
5938|D|1|City 56|NORTH|888|Channel 3|Location Subtype 10
8029|D|1|City 722|NORTH|888|Channel 3|Location Subtype 10
19000|D|1|City 489|CENTER|888|Channel 3|Location Subtype 10
8700|D|1|City 835|NORTH|888|Channel 3|Location Subtype 10
10462|D|1|City 711|NORTH|888|Channel 3|Location Subtype 10
6914|D|1|City 56|NORTH|888|Channel 3|Location Subtype 10
13855|D|1|City 56|NORTH|888|Channel 3|Location Subtype 10
10199|D|1|City 1041|NORTH|888|Channel 3|Location Subtype 10
6896|D|2|City 56|NORTH|888|Channel 3|Location Subtype 10
16182|D|2|City 515|NORTH|888|Channel 3|Location Subtype 10
6988|D|2|City 56|NORTH|888|Channel 3|Location Subtype 10
10201|D|2|City 1041|NORTH|888|Channel 3|Location Subtype 10
9479|A|1|City 834|NORTH|888|Channel 2|Location Subtype 6
8002|B|2|City 323|NORTH|888|Channel 2|Location Subtype 6
9464|B|2|City 937|NORTH|888|Channel 2|Location Subtype 6
6877|B|1|City 56|NORTH|888|Channel 2|Location Subtype 6
6921|B|1|City 56|NORTH|888|Channel 2|Location Subtype 6
3166|B|1|City 340|CENTER|888|Channel 2|Location Subtype 6
16094|B|1|City 737|NORTH|888|Channel 2|Location Subtype 6
8076|B|1|City 521|NORTH|888|Channel 2|Location Subtype 6
5687|B|1|City 56|NORTH|888|Channel 2|Location Subtype 6
6014|B|1|City 991|NORTH|888|Channel 2|Location Subtype 6
5342|B|1|City 1060|SOUTH|888|Channel 2|Location Subtype 6
5250|B|2|City 1060|SOUTH|888|Channel 2|Location Subtype 6
13265|B|2|City 398|NORTH|888|Channel 2|Location Subtype 6
5954|B|2|City 56|NORTH|888|Channel 2|Location Subtype 6
12920|B|2|City 398|NORTH|888|Channel 2|Location Subtype 6
20095|B|1|City 118|NORTH|888|Channel 2|Location Subtype 7
13951|B|1|City 390|NORTH|888|Channel 2|Location Subtype 7
5565|B|1|City 24|SOUTH|888|Channel 2|Location Subtype 7
7949|B|1|City 1101|NORTH|888|Channel 2|Location Subtype 7
15106|B|1|City 311|NORTH|888|Channel 2|Location Subtype 7
8651|B|1|City 1052|NORTH|888|Channel 2|Location Subtype 7
6416|B|1|City 206|NORTH|888|Channel 2|Location Subtype 7
15460|B|1|City 346|SOUTH|888|Channel 2|Location Subtype 7
6148|B|2|City 504|NORTH|888|Channel 2|Location Subtype 7
14760|B|2|City 530|NORTH|888|Channel 2|Location Subtype 7
18572|B|2|City 1091|CENTER|888|Channel 2|Location Subtype 7
205|B|2|City 1091|SOUTH|888|Channel 2|Location Subtype 7
16366|B|2|City 504|NORTH|888|Channel 2|Location Subtype 7
5595|B|2|City 24|SOUTH|888|Channel 2|Location Subtype 7
7988|B|1|City 117|NORTH|888|Channel 2|Location Subtype 8
15897|B|1|City 117|NORTH|888|Channel 2|Location Subtype 8
16247|B|1|City 834|NORTH|888|Channel 2|Location Subtype 8
9577|B|2|City 971|NORTH|888|Channel 2|Location Subtype 8
16414|B|2|City 56|NORTH|888|Channel 2|Location Subtype 8
17617|B|2|City 123|NORTH|888|Channel 2|Location Subtype 8
8511|B|1|City 398|NORTH|888|Channel 2|Location Subtype 8
6905|B|1|City 56|NORTH|888|Channel 2|Location Subtype 8
5961|B|1|City 56|NORTH|888|Channel 2|Location Subtype 8
5933|B|1|City 56|NORTH|888|Channel 2|Location Subtype 8
16022|B|1|City 24|SOUTH|888|Channel 2|Location Subtype 8
14833|B|1|City 1041|NORTH|888|Channel 2|Location Subtype 8
5679|B|1|City 56|NORTH|888|Channel 2|Location Subtype 8
8305|B|1|City 123|NORTH|888|Channel 2|Location Subtype 8
16019|B|1|City 1049|CENTER|888|Channel 2|Location Subtype 8
16020|B|1|City 1049|CENTER|888|Channel 2|Location Subtype 8
16059|B|1|City 1049|CENTER|888|Channel 2|Location Subtype 8
7675|B|2|City 1049|CENTER|888|Channel 2|Location Subtype 8
13310|B|2|City 24|SOUTH|888|Channel 2|Location Subtype 8
8426|B|2|City 123|NORTH|888|Channel 2|Location Subtype 8
